Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Sanity Android APP,,,,2019-10-03 15:50:32,2019-10-03 15:52:20,1m - 48.181s,INCOMPLETE
,,,,,,,
Test Cases/Login/P0_Verify User can enter valid password,,https://revivermx.testrail.net/index.php?/cases/view/8275&group_by=cases:section_id&group_order=asc&group_id=866,P0,2019-10-03 15:50:33,2019-10-03 15:51:14,40.978s,PASSED
"callTestCase(findTestCase(""Loginintoapp""), [:], STOP_ON_FAILURE)",,,,2019-10-03 15:50:33,2019-10-03 15:51:08,35.323s,PASSED
"verifyElementExist(findTestObject(""Homepage/page title""), 0)",,,,2019-10-03 15:51:08,2019-10-03 15:51:08,0.288s,PASSED
"tap(findTestObject(""Homepage/Burger Icon""), 0)",,,,2019-10-03 15:51:08,2019-10-03 15:51:10,1.381s,PASSED
"verifyElementAttributeValue(findTestObject(""Burger Menu/User ID""), ""text"", findTestData(DataFile).getValue(1, 1), 0)",,,,2019-10-03 15:51:10,2019-10-03 15:51:10,0.492s,PASSED
closeApplication(),,,,2019-10-03 15:51:10,2019-10-03 15:51:14,3.276s,PASSED
,,,,,,,
Test Cases/Login/P0_Verify User can enter invalid password,,https://revivermx.testrail.net/index.php?/cases/view/8276&group_by=cases:section_id&group_order=asc&group_id=866,P0,2019-10-03 15:51:14,2019-10-03 15:51:45,31.427s,PASSED
"startApplication(""/Users/ayush/Desktop/APKs/Rplate26sept120.apk"", true)",,,,2019-10-03 15:51:14,2019-10-03 15:51:29,15.419s,PASSED
"com.reviver.utils.CommonUtils.selectEnv_Mobile(selectENV, 5)",,,,2019-10-03 15:51:29,2019-10-03 15:51:31,1.582s,PASSED
"waitForElementPresent(findTestObject(""StartPage/android.widget.TextView0 - SIGN IN""), 5)",,,,2019-10-03 15:51:31,2019-10-03 15:51:33,2.320s,PASSED
"tap(findTestObject(""StartPage/android.widget.TextView0 - SIGN IN""), 0)",,,,2019-10-03 15:51:33,2019-10-03 15:51:35,1.984s,PASSED
"setText(findTestObject(""LoginPage/android.widget.EditText0 - Enter email""), findTestData(DataFile).getValue(1, 1), 0)",,,,2019-10-03 15:51:35,2019-10-03 15:51:37,1.614s,PASSED
"setText(findTestObject(""LoginPage/android.widget.EditText0 - Enter password""), ""Test12#$"", 0)",,,,2019-10-03 15:51:37,2019-10-03 15:51:38,1.734s,PASSED
"tap(findTestObject(""LoginPage/android.widget.Button0 - SIGN IN""), 0)",,,,2019-10-03 15:51:38,2019-10-03 15:51:40,1.360s,PASSED
"verifyElementVisible(findTestObject(""LoginPage/android.widget.TextView0 - Invalid email or password. Please try again""), 0)",,,,2019-10-03 15:51:40,2019-10-03 15:51:43,3.253s,PASSED
"verifyElementVisible(findTestObject(""LoginPage/android.widget.TextView0 - Invalid email or password. Please try again (1)""), 0)",,,,2019-10-03 15:51:43,2019-10-03 15:51:43,0.175s,PASSED
closeApplication(),,,,2019-10-03 15:51:43,2019-10-03 15:51:45,1.776s,PASSED
,,,,,,,
Test Cases/Login/P0_Verify login with a user having no plates assigned yet,,,P0,2019-10-03 15:51:45,2019-10-03 15:52:20,35.473s,PASSED
"startApplication(""/Users/ayush/Desktop/APKs/Rplate26sept120.apk"", true)",,,,2019-10-03 15:51:45,2019-10-03 15:52:01,15.392s,PASSED
"com.reviver.utils.CommonUtils.selectEnv_Mobile(selectENV, 5)",,,,2019-10-03 15:52:01,2019-10-03 15:52:02,1.779s,PASSED
"waitForElementPresent(findTestObject(""StartPage/android.widget.TextView0 - SIGN IN""), 5)",,,,2019-10-03 15:52:02,2019-10-03 15:52:05,2.343s,PASSED
"tap(findTestObject(""StartPage/android.widget.TextView0 - SIGN IN""), 0)",,,,2019-10-03 15:52:05,2019-10-03 15:52:07,1.877s,PASSED
"setText(findTestObject(""LoginPage/android.widget.EditText0 - Enter email""), findTestData(DataFile).getValue(1, 2), 0)",,,,2019-10-03 15:52:07,2019-10-03 15:52:08,1.528s,PASSED
"setText(findTestObject(""LoginPage/android.widget.EditText0 - Enter password""), findTestData(DataFile).getValue(2, 2), 0)",,,,2019-10-03 15:52:08,2019-10-03 15:52:10,1.921s,PASSED
"tap(findTestObject(""LoginPage/android.widget.Button0 - SIGN IN""), 0)",,,,2019-10-03 15:52:10,2019-10-03 15:52:12,1.739s,PASSED
"waitForElementPresent(findTestObject(""Homepage/Burger Icon""), 10)",,,,2019-10-03 15:52:12,2019-10-03 15:52:16,4.606s,PASSED
"verifyElementVisible(findTestObject(""Homepage/No plate image""), 0)",,,,2019-10-03 15:52:16,2019-10-03 15:52:17,0.156s,PASSED
"verifyElementAttributeValue(findTestObject(""Homepage/no plate text 3""), ""text"", ""Note: This may take 1–3 business days from when your order is processed."", 0)",,,,2019-10-03 15:52:17,2019-10-03 15:52:17,0.160s,PASSED
"verifyElementAttributeValue(findTestObject(""Homepage/no plate text1""), ""text"", ""It looks like your plates haven’t been added to your account."", 0)",,,,2019-10-03 15:52:17,2019-10-03 15:52:17,0.152s,PASSED
"verifyElementAttributeValue(findTestObject(""Homepage/no plate text2""), ""text"", ""You will be notified when your plate has been added to your account."", 0)",,,,2019-10-03 15:52:17,2019-10-03 15:52:17,0.150s,PASSED
"verifyElementVisible(findTestObject(""Homepage/No Plates Found text""), 0)",,,,2019-10-03 15:52:17,2019-10-03 15:52:17,0.154s,PASSED
"tap(findTestObject(""Homepage/Burger Icon""), 0)",,,,2019-10-03 15:52:17,2019-10-03 15:52:19,1.414s,PASSED
"verifyElementAttributeValue(findTestObject(""Burger Menu/Notifications""), ""checkable"", ""true"", 0)",,,,2019-10-03 15:52:19,2019-10-03 15:52:19,0.204s,PASSED
closeApplication(),,,,2019-10-03 15:52:19,2019-10-03 15:52:20,1.620s,PASSED
