Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Sanity Android APP,,,,2019-10-11 15:51:30,2019-10-11 15:54:08,2m - 38.301s,INCOMPLETE
,,,,,,,
Test Cases/Login/P0_Verify User can enter valid password,,https://revivermx.testrail.net/index.php?/cases/view/8275&group_by=cases:section_id&group_order=asc&group_id=866,P0,2019-10-11 15:51:30,2019-10-11 15:52:18,48.226s,PASSED
"callTestCase(findTestCase(""Loginintoapp""), [:], STOP_ON_FAILURE)",,,,2019-10-11 15:51:30,2019-10-11 15:52:13,42.810s,PASSED
"verifyElementExist(findTestObject(""Homepage/page title""), 0)",,,,2019-10-11 15:52:13,2019-10-11 15:52:13,0.395s,PASSED
"tap(findTestObject(""Homepage/Burger Icon""), 0)",,,,2019-10-11 15:52:13,2019-10-11 15:52:16,2.615s,PASSED
"verifyElementAttributeValue(findTestObject(""Burger Menu/User ID""), ""text"", findTestData(DataFile).getValue(1, 1), 0)",,,,2019-10-11 15:52:16,2019-10-11 15:52:16,0.439s,PASSED
closeApplication(),,,,2019-10-11 15:52:16,2019-10-11 15:52:18,1.687s,PASSED
,,,,,,,
Test Cases/Login/P0_Verify User can enter invalid password,,https://revivermx.testrail.net/index.php?/cases/view/8276&group_by=cases:section_id&group_order=asc&group_id=866,P0,2019-10-11 15:52:18,2019-10-11 15:52:51,32.690s,PASSED
"startApplication(""/Users/ayush/Desktop/APKs/Rplate26sept120.apk"", true)",,,,2019-10-11 15:52:18,2019-10-11 15:52:34,16.064s,PASSED
"com.reviver.utils.CommonUtils.selectEnv_Mobile(selectENV, 5)",,,,2019-10-11 15:52:34,2019-10-11 15:52:36,1.536s,PASSED
"waitForElementPresent(findTestObject(""StartPage/android.widget.TextView0 - SIGN IN""), 5)",,,,2019-10-11 15:52:36,2019-10-11 15:52:38,2.272s,PASSED
"tap(findTestObject(""StartPage/android.widget.TextView0 - SIGN IN""), 0)",,,,2019-10-11 15:52:38,2019-10-11 15:52:40,2.028s,PASSED
"setText(findTestObject(""LoginPage/android.widget.EditText0 - Enter email""), findTestData(DataFile).getValue(1, 1), 0)",,,,2019-10-11 15:52:40,2019-10-11 15:52:42,1.593s,PASSED
